wl,spn0.1
1228,0.54612073
1229,0.545218689
1230,0.544358625
1231,0.543538783
1232,0.54275741
1233,0.542012752
1234,0.541303055
1235,0.540626566
1236,0.539981531
1237,0.539366195
1238,0.538778805
1239,0.538217608
1240,0.537680849
1241,0.537166775
1242,0.536673632
1243,0.536199666
1244,0.535743123
1245,0.53530225
1246,0.534875292
1247,0.534460497
1248,0.53405611
1249,0.533660377
1250,0.533271544
1251,0.532887859
1252,0.532507566
1253,0.532128913
1254,0.531750145
1255,0.531369509
1256,0.53098525
1257,0.530595616
1258,0.530198852
1259,0.529830414
1260,0.529524638
1261,0.529278092
1262,0.529087342
1263,0.528948955
1264,0.528859499
1265,0.52881554
1266,0.528813645
1267,0.528850381
1268,0.528922315
1269,0.529026013
1270,0.529158044
1271,0.529314974
1272,0.529493369
1273,0.529689798
1274,0.529900825
1275,0.53012302
1276,0.530352948
1277,0.530587177
1278,0.530822273
1279,0.531054804
1280,0.531281336
1281,0.531498436
1282,0.531702672
1283,0.53189061
1284,0.532058817
1285,0.53220386
1286,0.532322306
1287,0.532410723
1288,0.532465676
1289,0.532483733
1290,0.532461461
1291,0.532395427
1292,0.532326698
1293,0.532296854
1294,0.53230323
1295,0.532343161
1296,0.532413981
1297,0.532513026
1298,0.532637632
1299,0.532785132
1300,0.532952863
1301,0.533138159
1302,0.533338355
1303,0.533550786
1304,0.533772788
1305,0.534001696
1306,0.534234844
1307,0.534469567
1308,0.534703201
1309,0.534933081
1310,0.535156542
1311,0.535370919
1312,0.535573546
1313,0.53576176
1314,0.535932894
1315,0.536084285
1316,0.536213267
1317,0.536317175
1318,0.536393344
1319,0.53643911
1320,0.536451807
1321,0.536428771
1322,0.536367336
1323,0.536264838
1324,0.536118612
1325,0.535925992
1326,0.535738324
1327,0.535605443
1328,0.535522418
1329,0.53548432
1330,0.535486217
1331,0.535523179
1332,0.535590277
1333,0.535682579
1334,0.535795156
1335,0.535923077
1336,0.536061411
1337,0.536205229
1338,0.5363496
1339,0.536489594
1340,0.53662028
1341,0.536736728
1342,0.536834008
1343,0.536907189
1344,0.536951342
1345,0.536961535
1346,0.536932839
1347,0.536860323
1348,0.536739056
1349,0.536564109
1350,0.536330551
1351,0.536033452
1352,0.535667881
1353,0.535228908
1354,0.534711604
1355,0.534111036
1356,0.533422276
1357,0.532640392
1358,0.531760455
1359,0.530848453
1360,0.529970412
1361,0.529121459
1362,0.528296722
1363,0.527491326
1364,0.526700399
1365,0.525919067
1366,0.525142458
1367,0.524365698
1368,0.523583914
1369,0.522792233
1370,0.521985782
1371,0.521159687
1372,0.520309075
1373,0.519429074
1374,0.518514809
1375,0.517561409
1376,0.516563999
1377,0.515517707
1378,0.514417659
1379,0.513258982
1380,0.512036803
1381,0.510746249
1382,0.509382447
1383,0.507940523
1384,0.506415605
1385,0.504802818
1386,0.503097291
1387,0.50129415
1388,0.499388521
1389,0.497375532
1390,0.495250309
1391,0.493007979
1392,0.490643669
1393,0.488144344
1394,0.485504587
1395,0.48273095
1396,0.479829986
1397,0.47680825
1398,0.473672293
1399,0.47042867
1400,0.467083933
1401,0.463644635
1402,0.46011733
1403,0.456508571
1404,0.452824911
1405,0.449072903
1406,0.4452591
1407,0.441390055
1408,0.437472322
1409,0.433512454
1410,0.429517003
1411,0.425492524
1412,0.421445569
1413,0.417382691
1414,0.413310443
1415,0.409235379
1416,0.405164052
1417,0.401103015
1418,0.397058821
1419,0.393038023
1420,0.389047175
1421,0.385092829
1422,0.381181539
1423,0.377319858
1424,0.373514339
1425,0.369771535
1426,0.365947793
1427,0.361904529
1428,0.357655898
1429,0.353216059
1430,0.348599166
1431,0.343819375
1432,0.338890844
1433,0.333827729
1434,0.328644185
1435,0.32335437
1436,0.317972439
1437,0.312512549
1438,0.306988856
1439,0.301415517
1440,0.295806687
1441,0.290176523
1442,0.284539182
1443,0.278908819
1444,0.273299591
1445,0.267725655
1446,0.262201166
1447,0.256740281
1448,0.251357156
1449,0.246065947
1450,0.240880812
1451,0.235815905
1452,0.230885384
1453,0.226103405
1454,0.221484123
1455,0.217041696
1456,0.21279028
1457,0.208744031
1458,0.204917105
1459,0.201323658
1460,0.197833558
1461,0.194310717
1462,0.190760361
1463,0.187187716
1464,0.183598007
1465,0.179996461
1466,0.176388304
1467,0.172778761
1468,0.169173057
1469,0.16557642
1470,0.161994074
1471,0.158431246
1472,0.154893161
1473,0.151385045
1474,0.147912125
1475,0.144479625
1476,0.141092771
1477,0.13775679
1478,0.134476908
1479,0.131258349
1480,0.128106341
1481,0.125026108
1482,0.122022877
1483,0.119101873
1484,0.116268322
1485,0.113527451
1486,0.110884484
1487,0.108344648
1488,0.105913168
1489,0.103595271
1490,0.101396182
1491,0.099321128
1492,0.097375333
1493,0.095564023
1494,0.093898107
1495,0.092380954
1496,0.091006482
1497,0.089768607
1498,0.088661247
1499,0.08767832
1500,0.086813744
1501,0.086061435
1502,0.085415311
1503,0.08486929
1504,0.08441729
1505,0.084053227
1506,0.08377102
1507,0.083564585
1508,0.083427841
1509,0.083354705
1510,0.083339094
1511,0.083374925
1512,0.083456117
1513,0.083576587
1514,0.083730253
1515,0.083911031
1516,0.084112839
1517,0.084329596
1518,0.084555217
1519,0.084783622
1520,0.085008727
1521,0.08522445
1522,0.085424708
1523,0.08560342
1524,0.085754501
1525,0.085871871
1526,0.085949446
1527,0.085981143
1528,0.086049504
1529,0.086236977
1530,0.086537346
1531,0.086944395
1532,0.087451909
1533,0.088053669
1534,0.088743462
1535,0.089515068
1536,0.090362274
1537,0.091278862
1538,0.092258616
1539,0.09329532
1540,0.094382758
1541,0.095514712
1542,0.096684968
1543,0.097887308
1544,0.099115516
1545,0.100363377
1546,0.101624673
1547,0.102893189
1548,0.104162708
1549,0.105427014
1550,0.106679891
1551,0.107915122
1552,0.109126491
1553,0.110307781
1554,0.111452777
1555,0.112555263
1556,0.113609021
1557,0.114607836
1558,0.115545491
1559,0.11641577
1560,0.117212457
1561,0.117992251
1562,0.118814364
1563,0.119676345
1564,0.120575746
1565,0.121510117
1566,0.122477009
1567,0.123473972
1568,0.124498556
1569,0.125548312
1570,0.12662079
1571,0.127713542
1572,0.128824117
1573,0.129950066
1574,0.13108894
1575,0.132238289
1576,0.133395664
1577,0.134558615
1578,0.135724693
1579,0.136891447
1580,0.13805643
1581,0.13921719
1582,0.14037128
1583,0.141516248
1584,0.142649647
1585,0.143769025
1586,0.144871935
1587,0.145955926
1588,0.147018548
1589,0.148057353
1590,0.149069891
1591,0.150053712
1592,0.151006367
1593,0.151925407
1594,0.152808381
1595,0.153675577
1596,0.154548523
1597,0.155426635
1598,0.15630933
1599,0.157196023
1600,0.158086131
1601,0.158979069
1602,0.159874253
1603,0.1607711
1604,0.161669025
1605,0.162567444
1606,0.163465773
1607,0.164363428
1608,0.165259826
1609,0.166154381
1610,0.167046511
1611,0.167935631
1612,0.168821157
1613,0.169702504
1614,0.17057909
1615,0.171450329
1616,0.172315638
1617,0.173174434
1618,0.17402613
1619,0.174870145
1620,0.175705893
1621,0.176532791
1622,0.177350255
1623,0.1781577
1624,0.178954543
1625,0.1797402
1626,0.180514086
1627,0.181275617
1628,0.182022788
1629,0.182754497
1630,0.183471512
1631,0.184174603
1632,0.18486454
1633,0.185542093
1634,0.186208032
1635,0.186863126
1636,0.187508145
1637,0.188143859
1638,0.188771037
1639,0.189390449
1640,0.190002866
1641,0.190609055
1642,0.191209789
1643,0.191805835
1644,0.192397965
1645,0.192986946
1646,0.193573551
1647,0.194158547
1648,0.194742705
1649,0.195326794
1650,0.195911585
1651,0.196497846
1652,0.197086348
1653,0.197677861
1654,0.198273154
1655,0.198872996
1656,0.199478159
1657,0.20008941
1658,0.200707521
1659,0.20133326
1660,0.201967398
1661,0.202610704
1662,0.203256638
1663,0.203898294
1664,0.204535898
1665,0.205169674
1666,0.205799847
1667,0.206426641
1668,0.20705028
1669,0.20767099
1670,0.208288995
1671,0.208904519
1672,0.209517787
1673,0.210129023
1674,0.210738453
1675,0.2113463
1676,0.211952789
1677,0.212558145
1678,0.213162592
1679,0.213766355
1680,0.214369659
1681,0.214972727
1682,0.215575784
1683,0.216179056
1684,0.216782766
1685,0.217387139
1686,0.2179924
1687,0.218598773
1688,0.219206482
1689,0.219815753
1690,0.22042681
1691,0.221039877
1692,0.221655179
1693,0.222272941
1694,0.222893387
1695,0.223517532
1696,0.224146016
1697,0.224778502
1698,0.225414648
1699,0.226054118
1700,0.226696572
1701,0.227341671
1702,0.227989076
1703,0.228638448
1704,0.229289448
1705,0.229941739
1706,0.23059498
1707,0.231248832
1708,0.231902958
1709,0.232557017
1710,0.233210672
1711,0.233863583
1712,0.234515411
1713,0.235165818
1714,0.235814465
1715,0.236461012
1716,0.237105121
1717,0.237746453
1718,0.238384669
1719,0.23901943
1720,0.239650398
1721,0.240277233
1722,0.240899596
1723,0.24151715
1724,0.242129554
1725,0.24273647
1726,0.243337559
1727,0.243932482
1728,0.244520901
1729,0.245112299
1730,0.245715761
1731,0.246330344
1732,0.24695511
1733,0.247589116
1734,0.248231421
1735,0.248881086
1736,0.249537169
1737,0.250198729
1738,0.250864826
1739,0.251534519
1740,0.252206866
1741,0.252880927
1742,0.253555762
1743,0.254230429
1744,0.254903988
1745,0.255575497
1746,0.256244017
1747,0.256908605
1748,0.257568322
1749,0.258222226
1750,0.258869377
1751,0.259508834
1752,0.260139655
1753,0.260760901
1754,0.26137163
1755,0.261970902
1756,0.262557775
1757,0.263131309
1758,0.263690564
1759,0.264234597
1760,0.264762469
1761,0.265273238
1762,0.265765965
1763,0.266257734
1764,0.266765123
1765,0.267286424
1766,0.267819928
1767,0.268363928
1768,0.268916716
1769,0.269476584
1770,0.270041824
1771,0.270610728
1772,0.271181589
1773,0.271752699
1774,0.272322349
1775,0.272888833
1776,0.273450442
1777,0.274005468
1778,0.274552204
1779,0.275088941
1780,0.275613973
1781,0.27612559
1782,0.276622085
1783,0.277101751
1784,0.277562879
1785,0.278003762
1786,0.278422692
1787,0.278817961
1788,0.279187861
1789,0.279530684
1790,0.279844723
1791,0.280128269
1792,0.280379615
1793,0.280597053
1794,0.280778875
1795,0.280923373
1796,0.28102884
1797,0.281114253
1798,0.281199144
1799,0.281282636
1800,0.281363853
1801,0.28144192
1802,0.281515959
1803,0.281585094
1804,0.28164845
1805,0.281705149
1806,0.281754315
1807,0.281795073
1808,0.281826545
1809,0.281847856
1810,0.281858129
1811,0.281856487
1812,0.281842056
1813,0.281813957
1814,0.281771315
1815,0.281713254
1816,0.281638898
1817,0.281547369
1818,0.281437792
1819,0.28130929
1820,0.281160987
1821,0.280992007
1822,0.280801473
1823,0.280588509
1824,0.280352239
1825,0.280091787
1826,0.279806276
1827,0.279494829
1828,0.279156571
1829,0.278790625
1830,0.278419189
1831,0.27806326
1832,0.277720168
1833,0.277387241
1834,0.277061806
1835,0.276741191
1836,0.276422725
1837,0.276103735
1838,0.275781549
1839,0.275453495
1840,0.275116902
1841,0.274769096
1842,0.274407407
1843,0.274029162
1844,0.273631689
1845,0.273212317
1846,0.272768372
1847,0.272297183
1848,0.271796078
1849,0.271262385
1850,0.270693432
1851,0.270086547
1852,0.269439058
1853,0.268748293
1854,0.268011579
1855,0.267226246
1856,0.26638962
1857,0.265499029
1858,0.264551803
1859,0.263545268
1860,0.262476752
1861,0.261343585
1862,0.260143093
1863,0.258872604
1864,0.257527904
1865,0.256108854
1866,0.2546189
1867,0.253061488
1868,0.251440063
1869,0.249758069
1870,0.248018953
1871,0.246226159
1872,0.244383133
1873,0.24249332
1874,0.240560165
1875,0.238587114
1876,0.236577612
1877,0.234535105
1878,0.232463036
1879,0.230364853
1880,0.228243999
1881,0.226103921
1882,0.223948063
1883,0.221779871
1884,0.219602791
1885,0.217420267
1886,0.215235744
1887,0.213052669
1888,0.210874486
1889,0.20870464
1890,0.206546577
1891,0.204403743
1892,0.202279581
1893,0.200177539
1894,0.19810106
1895,0.196053591
1896,0.194038576
1897,0.191982246
1898,0.18981326
1899,0.187538711
1900,0.185165691
1901,0.182701292
1902,0.180152607
1903,0.177526727
1904,0.174830745
1905,0.172071752
1906,0.169256841
1907,0.166393104
1908,0.163487633
1909,0.16054752
1910,0.157579857
1911,0.154591736
1912,0.15159025
1913,0.148582491
1914,0.14557555
1915,0.142576521
1916,0.139592494
1917,0.136630562
1918,0.133697817
1919,0.130801351
1920,0.127948257
1921,0.125145627
1922,0.122400552
1923,0.119720125
1924,0.117111437
1925,0.114581582
1926,0.112137651
1927,0.109786736
1928,0.107535929
1929,0.105392323
1930,0.103363009
1931,0.101374916
1932,0.099352772
1933,0.097300368
1934,0.095221493
1935,0.093119937
1936,0.090999493
1937,0.088863948
1938,0.086717095
1939,0.084562724
1940,0.082404624
1941,0.080246587
1942,0.078092403
1943,0.075945862
1944,0.073810754
1945,0.07169087
1946,0.069590001
1947,0.067511936
1948,0.065460467
1949,0.063439383
1950,0.061452475
1951,0.059503534
1952,0.057596349
1953,0.055734712
1954,0.053922412
1955,0.05216324
1956,0.050460987
1957,0.048819442
1958,0.047242397
1959,0.045733641
1960,0.044296965
1961,0.04293616
1962,0.041655015
1963,0.040457322
1964,0.039350991
1965,0.038338517
1966,0.037415569
1967,0.036577813
1968,0.035820916
1969,0.035140546
1970,0.034532369
1971,0.033992054
1972,0.033515266
1973,0.033097674
1974,0.032734945
